Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|287.6682.classifier_predicted_region.1	CLASSIFIER_PREDICTED_REGION	NODE_19_length_148556_cov_8.773953	41646	41660	3	+	15	Levofloxacin resistance predicted region	- none -	 	 
fig|287.6682.peg.1	CDS	NODE_100_length_456_cov_0.772036	153	1	-3	-	153	ABC transporter, ATP-binding protein	- none -	 	 
fig|287.6682.peg.2	CDS	NODE_101_length_454_cov_0.929664	2	100	2	+	99	hypothetical protein	- none -	 	 
fig|287.6682.peg.3	CDS	NODE_103_length_453_cov_2.276074	452	3	-2	-	450	hypothetical protein	- none -	 	 
fig|287.6682.peg.4	CDS	NODE_104_length_453_cov_1.000000	453	241	-3	-	213	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|287.6682.peg.5	CDS	NODE_107_length_452_cov_1.000000	3	335	3	+	333	Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexW of MexVW-OprM system	- none -	 	 
fig|287.6682.peg.6	CDS	NODE_108_length_452_cov_0.969231	451	257	-1	-	195	hypothetical protein	- none -	 	 
fig|287.6682.peg.7	CDS	NODE_10_length_235234_cov_7.139043	70	2	-1	-	69	Lipoate-protein ligase A	Lipoic acid metabolism	 	 
fig|287.6682.peg.8	CDS	NODE_10_length_235234_cov_7.139043	937	203	-1	-	735	Glutamine amidotransferase, class I	- none -	 	 
fig|287.6682.peg.9	CDS	NODE_10_length_235234_cov_7.139043	3189	1045	-3	-	2145	Enoyl-CoA hydratase (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	Acetyl-CoA fermentation to Butyrate; <br>Acetyl-CoA fermentation to Butyrate; <br>Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>Butyrate metabolism cluster; <br>Fatty acid metabolism cluster; <br>Fatty acid metabolism cluster; <br>Fatty acid metabolism cluster; <br>Isoleucine degradation; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Valine degradation; <br>Valine degradation; <br>n-Phenylalkanoic acid degradation; <br>n-Phenylalkanoic acid degradation; <br>n-Phenylalkanoic acid degradation	 	 
